city,title,price,location,area,building_area,bedrooms,bathrooms,garage
Jakarta Selatan,(termurah Di Pejatan) Hunian Cluster Jakarta Selatan Harga Terjangkau,"Rp 2,48 Miliar","Pejaten, Jakarta Selatan",: 81 m²,: 120 m²,3,3,1
Jakarta Selatan,Rumah Dalam Cluster Luas Kpr Biaya 0 Carport 2 Mbl Bebas Banjir,"Rp 2,25 Miliar","Jagakarsa, Jakarta Selatan",: 105 m²,: 135 m²,3,3,2
Jakarta Selatan,"Dijual Cepat Rumah Mewah Area Tebet 6 Bedroom Full Furnish,  Bagus Shm di Tebet, Tebet","Rp 13,5 Miliar","Tebet, Jakarta Selatan",: 300 m²,: 450 m²,6,4,2
Jakarta Selatan,"Rumah Darmawangsa, Kebayoran Baru, Jakarta Selatan, Lokasi Tenang","Rp 19,5 Miliar","Kebayoran Baru, Jakarta Selatan",: 353 m²,: 600 m²,4,3,1
Jakarta Selatan,Di Jual Rumah Arteri Pondok Indah Jakarta,Rp 13 Miliar,"Pondok Indah, Jakarta Selatan",: 370 m²,: 500 m²,6,6,4
Jakarta Selatan,Di Jual Rumah Mewah Pondok Indah Jakarta,Rp 17 Miliar,"Pondok Indah, Jakarta Selatan",: 274 m²,: 603 m²,7,6,
Jakarta Selatan,Rumah Modern Hadap Timur 2 Lt Siap Huni 15 Menit ke Transmart Graha Raya J23881,"Rp 1,29 Miliar","Bintaro, Jakarta Selatan",: 129 m²,: 200 m²,3,1,1
Jakarta Selatan,Rumah LT 186 Full Furnished 15 Menit ke SMAN 38 Jakarta Bebas Biaya Biaya J12770,"Rp 2,25 Miliar","Jagakarsa, Jakarta Selatan",: 186 m²,: 110 m²,3,3,
Jakarta Selatan,Rumah 1km Dri Scbd Siap Huni Lingkungan Nyaman Kebayoran Dekat,Rp 7 Miliar,"Kebayoran Baru, Jakarta Selatan",: 111 m²,: 111 m²,3,4,
Jakarta Selatan,Rumah American Style 2 Lantai Di Jagakarsa Dkt Ke Cilandak,"Rp 4,25 Miliar","Jagakarsa, Jakarta Selatan",: 133 m²,: 240 m²,4,3,2
Jakarta Selatan,Rumah American Classic Non Cluster Dekat Jalan Utama,"Rp 1,35 Miliar","Jagakarsa, Jakarta Selatan",: 71 m²,: 100 m²,3,3,1
Jakarta Selatan,Rumah Di Hanglekir Kebayoran Baru Lokasi Asri Jalan Lebar,"Rp 12,5 Miliar","Kebayoran Baru, Jakarta Selatan",: 235 m²,: 400 m²,3,3,2
Jakarta Selatan,Townhouse Mewah Full Furnished Akses Jalan Utama,"Rp 1,87 Miliar","Jagakarsa, Jakarta Selatan",: 74 m²,: 130 m²,3,3,2
Jakarta Selatan,Rumah Lama Hitung Tanah di Pejaten Jatipadang Jakarta Selatan Shm,Rp 16 Miliar,"Pejaten, Jakarta Selatan",: 1190 m²,: 300 m²,5,3,6
Jakarta Selatan,Rumah lama di Radio Dalam kebayoran baru dekat ke pondok indah,"Rp 11,5 Miliar","Kebayoran Baru, Jakarta Selatan",: 580 m²,: 220 m²,3,3,4
Jakarta Selatan,Rumah Tua Hitung Tanah Di Sinabung Kebayoran Baru Shm Kompleks,"Rp 7,5 Miliar","Kebayoran Baru, Jakarta Selatan",: 244 m²,: 200 m²,4,3,
Jakarta Selatan,"Rumah 2 Lantai Di Kemang Barat, Jakarta Selatan Private Pool  Shm",Rp 9 Miliar,"Kemang, Jakarta Selatan",: 318 m²,: 400 m²,4,3,1
Jakarta Selatan,Rumah Baru Di Cipete Lokasi Dekat Kebayoran Baru Furnished S.pool,"Rp 11,9 Miliar","Cipete, Jakarta Selatan",: 400 m²,: 252 m²,4,4,2
Jakarta Selatan,"Rumah Pondok Indah 12 X 22, Kolam Renang, Rooftop","Rp 17,5 Miliar","Pondok Indah, Jakarta Selatan",: 264 m²,: 603 m²,4,4,2
Jakarta Selatan,Rumah 2 Lt Dalam Townhouse Jalan Masuk 3 Mbl Bebas Banjir Kpr 0,"Rp 1,65 Miliar","Jagakarsa, Jakarta Selatan",: 72 m²,: 100 m²,3,3,2
Jakarta Selatan,Fast Sale! Rumah Cantik Mewah Lt 530m Prime Area,Rp 17 Miliar,"Tebet, Jakarta Selatan",: 530 m²,: 610 m²,4,4,3
Jakarta Selatan,"Dijual Rmh Kemang: Lokasi Strategis, Dlm Cluster, Pool, Siap Huni",Rp 9 Miliar,"Kemang, Jakarta Selatan",: 247 m²,: 390 m²,3,3,
Jakarta Selatan,Jual Rumah Hitung Tanah Prime Area Pondok Indah,"Rp 18,5 Miliar","Pondok Indah, Jakarta Selatan",: 200 m²,,,,
Jakarta Selatan,"Darmawangsa, Kebayoran Baru -  Jual Paling Murah, Rumah Lama Di Darmawangsa Kebayoran Baru",Rp 23 Miliar,"Kebayoran Baru, Jakarta Selatan",: 525 m²,: 450 m²,4,4,2
Jakarta Selatan,"Kebayoran Baru Brand New 3 Lantai, Pool, Large Garden. Parkir 8 Mobil",Rp 35 Miliar,"Kebayoran Baru, Jakarta Selatan",: 633 m²,: 840 m²,5,5,8
Jakarta Selatan,"Kebayoran Baru Rumah 3 Lantai Murah, Lift, Pool, Taman Dekat Senayan",Rp 34 Miliar,"Kebayoran Baru, Jakarta Selatan",: 680 m²,: 650 m²,5,5,
Jakarta Selatan,"Rumah Dalam Cluster, Sangat Terawat Dan Siap Huni Di Kemang","Rp 14,3 Miliar","Kemang, Jakarta Selatan",: 348 m²,: 703 m²,4,3,2
Jakarta Selatan,Dijual Cepat Rumah Mewah Dalam Komplek Kemang Lokasi Sangat Strategis,"Rp 17,5 Miliar","Kemang, Jakarta Selatan",: 531 m²,: 466 m²,4,4,
Jakarta Selatan,Dijual Rumah cluster di jakarta selatan akses strategis 2mobil,"Rp 1,8 Miliar","Jagakarsa, Jakarta Selatan",: 108 m²,: 160 m²,4,4,2
Jakarta Selatan,"American Classic Mewah Dan Siap Huni, Dijual Rumah Bagus Siap Huni Area Prime Kebayoran Baru, Jalan Martimbang, Jakarta Selatan",Rp 41 Miliar,"Kebayoran Baru, Jakarta Selatan",: 600 m²,: 800 m²,5,4,3
Jakarta Selatan,"Mewah Siap Huni, Dijual Rumah Bangunan 2 Lantai Kondisi Bagus Dan Siap Huni di Area Pondok Indah, Sekolah Kencana, Jakarta Selatan",Rp 55 Miliar,"Pondok Indah, Jakarta Selatan",: 819 m²,: 700 m²,4,4,10
Jakarta Selatan,Rumah Lama Prime Area One Gate System Asri Dan Jalan Lebar,Rp 16 Miliar,"Kebayoran Baru, Jakarta Selatan",: 262 m²,: 125 m²,3,3,
Jakarta Selatan,Rumah Di Jalan Utama Tebet Tanah Luas,Rp 16 Miliar,"Tebet, Jakarta Selatan",: 760 m²,: 1020 m²,7,4,4
Jakarta Selatan,Turun Harga Drastis.. Sebelahan Dengan Rumah Artis ..rumah Idaman 2 Lantai Di Area Strategis Jl Abdul Majid Cipete Selatan Dekat Ke Kemang Village Jaksel,"Rp 4,3 Miliar","Cipete, Jakarta Selatan",: 141 m²,: 178 m²,4,4,2
Jakarta Selatan,(termurah Di Pejatan) Hunian Cluster Jakarta Selatan Harga Terjangkau,"Rp 2,48 Miliar","Pejaten, Jakarta Selatan",: 81 m²,: 120 m²,3,3,1
Jakarta Selatan,Rumah Dalam Cluster Luas Kpr Biaya 0 Carport 2 Mbl Bebas Banjir,"Rp 2,25 Miliar","Jagakarsa, Jakarta Selatan",: 105 m²,: 135 m²,3,3,2
Jakarta Selatan,"Dijual Cepat Rumah Mewah Area Tebet 6 Bedroom Full Furnish,  Bagus Shm di Tebet, Tebet","Rp 13,5 Miliar","Tebet, Jakarta Selatan",: 300 m²,: 450 m²,6,4,2
Jakarta Selatan,"Rumah Darmawangsa, Kebayoran Baru, Jakarta Selatan, Lokasi Tenang","Rp 19,5 Miliar","Kebayoran Baru, Jakarta Selatan",: 353 m²,: 600 m²,4,3,1
Jakarta Selatan,Di Jual Rumah Arteri Pondok Indah Jakarta,Rp 13 Miliar,"Pondok Indah, Jakarta Selatan",: 370 m²,: 500 m²,6,6,4
Jakarta Selatan,Di Jual Rumah Mewah Pondok Indah Jakarta,Rp 17 Miliar,"Pondok Indah, Jakarta Selatan",: 274 m²,: 603 m²,7,6,
Jakarta Selatan,Rumah Modern Hadap Timur 2 Lt Siap Huni 15 Menit ke Transmart Graha Raya J23881,"Rp 1,29 Miliar","Bintaro, Jakarta Selatan",: 129 m²,: 200 m²,3,1,1
Jakarta Selatan,Rumah LT 186 Full Furnished 15 Menit ke SMAN 38 Jakarta Bebas Biaya Biaya J12770,"Rp 2,25 Miliar","Jagakarsa, Jakarta Selatan",: 186 m²,: 110 m²,3,3,
Jakarta Selatan,Rumah 1km Dri Scbd Siap Huni Lingkungan Nyaman Kebayoran Dekat,Rp 7 Miliar,"Kebayoran Baru, Jakarta Selatan",: 111 m²,: 111 m²,3,4,
Jakarta Selatan,Rumah American Style 2 Lantai Di Jagakarsa Dkt Ke Cilandak,"Rp 4,25 Miliar","Jagakarsa, Jakarta Selatan",: 133 m²,: 240 m²,4,3,2
