,city,title,price,location,area,building_area,bedrooms,bathrooms,garage
1251,Depok,"Rumah 1,5 Lantai Terlaris 900 Meter Ke Pintu Tol Depok",740.0,"Limo, Depok",72.0,50.0,2.0,1.0,1.0
1252,Depok,"Rumah 1,5 Lantai Furnished 900 Meter Ke Tol Depok",739.0,"Sawangan, Depok",72.0,50.0,2.0,1.0,1.0
1253,Depok,Rumah 2 Lantai Di jalan pekapuran Dekat Tol cimanggis Depok,850.0,"Cimanggis, Depok",80.0,73.0,3.0,2.0,1.0
1254,Depok,Rumah 2 Lantai Dekat Sekolah AL AZHAR dan Stasiun Depok Lama,999.0,"Cilodong, Depok",84.0,100.0,3.0,3.0,2.0
1255,Depok,Rumah murah dalam cluster dekat Pasar Agung Sukmajaya Depok,875.0,"Sukmajaya, Depok",56.0,70.0,3.0,2.0,1.0
1256,Depok,Rumah Termurah Pinggir Jalan Akses 2 Mobil Cimanggis Depok,625.0,"Cimanggis, Depok",60.0,36.0,2.0,1.0,0.0
1257,Depok,Rumah Murah Minimalis Dekat Stasiun Dan Grand Depok City,855.0,"Cilodong, Depok",70.0,70.0,3.0,2.0,1.0
1259,Depok,Rumah Seken Terawat Hadap Timur 7 Menit ke Depok Town Center Dibantu KPR J25314,780.0,"Pancoran Mas, Depok",78.0,45.0,2.0,1.0,0.0
1260,Depok,Rumah Murah Siap KPR 8 Menit ke RSUD Depok Harga Nego J12018,610.0,"Limo, Depok",86.0,60.0,2.0,1.0,0.0
1261,Depok,Rumah 500jtan Hadap Utara 6 menit ke The Park Sawangan Depok Dibantu KPR J18769,570.0,"Limo, Depok",92.0,72.0,2.0,1.0,0.0
1262,Depok,Rumah LT 148 SHM Hadap Utara 15 menit ke Stasiun Depok Harga Nego J20634,1100.0,"Cimanggis, Depok",148.0,100.0,4.0,2.0,0.0
1263,Depok,Rumah 2 Lt SHM Hadap Utara 18 menit ke One Belpark Mall Siap KPR  J18302,2330.0,"Cinere, Depok",105.0,101.0,3.0,4.0,0.0
1264,Depok,Rumah Siap Huni SHM LT 120 dekat Mal Cinere Harga Nego Dibantu KPR J14676,1880.0,"Cinere, Depok",120.0,150.0,3.0,3.0,0.0
1265,Depok,Rumah Siap Huni Hadap Timur Bisa Nego 7 Menit ke Mall Pesona Square Siap KPR J22910,1730.0,"Cimanggis, Depok",91.0,250.0,4.0,3.0,0.0
1266,Depok,Rumah LT 240 SHM Harga Nego 4 Menit ke Grand Mall Cimanggis Siap KPR J21745,2440.0,"Cimanggis, Depok",240.0,280.0,5.0,4.0,0.0
1267,Depok,Rumah LB 200 di Permata Puri Laguna Dekat Pintu Tol Harga Nego J25353,2170.0,"Beji, Depok",120.0,200.0,4.0,3.0,0.0
1268,Depok,Rumah Minimalis 15 Mnt ke RS Puri Cinere SHM Free Biaya Biaya J26013,2540.0,"Beji, Depok",112.0,120.0,3.0,2.0,0.0
1269,Depok,Rumah LT 120 Siap Huni 4 Mnt ke RS Citra Arafiq Sawangan Dibantu KPR J13848,670.0,"Sawangan, Depok",120.0,120.0,3.0,2.0,0.0
1270,Depok,Rumah 2 Lt Bisa Nego 15 menit ke Gerbang Tol Sawangan 4 Dibantu KPR J22122,750.0,"Sawangan, Depok",95.0,130.0,4.0,1.0,0.0
1271,Depok,Rumah SHM 2 Lt Harga Nego 4 Menit ke Stasiun Citayam Dibantu KPR J24793,880.0,"Citayam, Depok",90.0,115.0,3.0,2.0,0.0
1272,Depok,Rumah Siap KPR Luas 15 menit ke The Park Sawangan Harga Nego J22053,500.0,"Sawangan, Depok",120.0,110.0,4.0,2.0,0.0
1273,Depok,Rumah Hadap Timur Bebas Banjir dekat Stasiun Citayam Depok Dibantu KPR  J25261,760.0,"Citayam, Depok",88.0,70.0,3.0,1.0,0.0
1274,Depok,Rumah Baru Siap Huni Dinding Bata Merah 5 Menit ke Tol Cimanggis,668.0,"Cimanggis, Depok",64.0,65.0,3.0,2.0,2.0
1288,Depok,Rumah Termurah Type 2 Lantai Dekat Tol Cijago Dan Stasiun Depok,690.0,"Cilodong, Depok",63.0,70.0,3.0,2.0,1.0
1294,Depok,"Rumah 1,5 Lantai Furnished Terlaris Dekat Tol Di Depok",739.0,"Cinere, Depok",72.0,50.0,2.0,1.0,1.0
1295,Depok,Rumah Dijual Didepok Cash Dan Kpr Tanpa Dp,550.0,"Sawangan, Depok",67.0,45.0,2.0,1.0,1.0
1296,Depok,Rumah Baru Brand New di Cinere Siap Huni Design Elegan Klasik Modern,3500.0,"Cinere, Depok",169.0,200.0,3.0,2.0,2.0
1297,Depok,Rumah 3 Lantai Nuansa Resort di Samping Mal Cinere,5200.0,"Cinere, Depok",300.0,500.0,7.0,7.0,2.0
1298,Depok,Rumah SHM LT 104 Bisa Nego 2 menit ke RSIA ASYIFA DEPOK Dibantu KPR J22029,940.0,"Pancoran Mas, Depok",104.0,56.0,3.0,2.0,0.0
1299,Depok,Rumah 2 Lt Hadap Utara Sudah Renov 5 Mnt ke Depok Town Center Siap KPR J20230,1080.0,"Pancoran Mas, Depok",72.0,67.0,3.0,2.0,0.0
1300,Depok,Rumah Luas Siap Huni dekat One Belpark Mall Depok Harga Nego Siap KPR J24035,750.0,"Limo, Depok",130.0,130.0,4.0,2.0,0.0
1301,Depok,Ruamh 2 Lt SHM LT 165 Siap KPR 10 menit ke Gerbang Toll Cinere J20907,1880.0,"Pancoran Mas, Depok",165.0,300.0,3.0,3.0,0.0
1302,Depok,Rumah Strategis 20 Menit ke Gerbang Tol Limo 1 Sudah Renov Siap Huni J22702,650.0,"Limo, Depok",108.0,70.0,2.0,1.0,0.0
1303,Depok,"Rumah Siap Huni Hadap Utara 15 menit ke Stasiun Citayam, Depok Bisa Nego J23750",810.0,"Citayam, Depok",92.0,90.0,3.0,1.0,0.0
1304,Depok,Rumah Sudah Renov 20 Mnt ke Pintu Toll Limo 1 Semi Furnish J23676,1020.0,"Limo, Depok",160.0,185.0,3.0,2.0,0.0
1305,Depok,Rumah 4 Menit ke Stasiun Citayam Depok SHM Siap KPR J24184,450.0,"Citayam, Depok",75.0,45.0,2.0,1.0,0.0
1306,Depok,Rumah Lokasi Strategis di Limo Residence Depok Dekat Tol Limo,1830.0,"Limo, Depok",113.0,150.0,2.0,2.0,1.0
1307,Depok,Rumah Hadap Selatan LT 175 Harga Nego 7 Menit ke Stasiun Depok Siap KPR J26142,1330.0,"Cipayung, Depok",175.0,80.0,3.0,2.0,0.0
1308,Depok,Rumah 400jtan Strategis 15 Menit ke RS Permata Depok  Harga Nego Siap KPR J25923,420.0,"Sawangan, Depok",63.0,41.0,2.0,1.0,0.0
1309,Depok,Rumah Mewah Siap Huni Hadap Selatan 15 Menit ke Mall Cinere Dibantu KPR J15141,1770.0,"Cinere, Depok",105.0,89.0,3.0,2.0,0.0
1310,Depok,Rumah Modern Hadap Timur 15 Mnt ke The Park Sawangan Depok Harga Nego J17846,1090.0,"Sawangan, Depok",75.0,69.0,3.0,2.0,0.0
1311,Depok,Rumah SHM 3 KT di Depok 20 Menit ke Cinere Mall Harga Nego Siap Huni J21436,1090.0,"Cinere, Depok",76.0,75.0,3.0,2.0,0.0
1312,Depok,Rumah Luas SHM Siap KPR 10 menit ke Grand Mall Cimanggis Harga Nego J20279,1860.0,"Cimanggis, Depok",208.0,200.0,4.0,2.0,0.0
1313,Depok,Rumah SHM Ada Carport 10 menit ke Terminal Sawangan Dibantu KPR J18865,800.0,"Sawangan, Depok",96.0,76.0,3.0,2.0,0.0
1314,Depok,Rumah SHM Siap Huni 15 Mnt ke RS  Puri Cinere Free Biaya Biaya J26013,2540.0,"Cinere, Depok",112.0,120.0,3.0,2.0,0.0
1315,Depok,Rumah 400jtan Harga Nego Siap KPR 9 Menit ke MargoCity J24072,500.0,"Cimanggis, Depok",93.0,93.0,2.0,1.0,0.0
